full_name,position,sleeper_adp,espn_adp,spread
Tyler Allgeier,RB,149.0,162.86,13.860000000000014
Davante Adams,WR,60.0,46.2,13.799999999999997
Jakobi Meyers,WR,108.0,121.24,13.239999999999995
Cooper Kupp,WR,157.0,169.2,12.199999999999989
Brock Bowers,TE,12.0,24.09,12.09
Chris Olave,WR,18.0,29.97,11.969999999999999
Colby Parkinson,TE,182.0,170.23,11.77000000000001
Patrick Mahomes,QB,119.0,107.4,11.599999999999994
Lamar Jackson,QB,47.0,35.83,11.170000000000002
Jerry Jeudy,WR,179.0,167.86,11.139999999999986
Jacoby Brissett,QB,159.0,169.97,10.969999999999999
Dontayvion Wicks,WR,160.0,170.96,10.960000000000008
Dylan Sampson,RB,180.0,169.34,10.659999999999997
DK Metcalf,WR,75.0,85.66,10.659999999999997
Matthew Golden,WR,120.0,109.79,10.209999999999994
Dallas Goedert,TE,93.0,103.11,10.11
Adonai Mitchell,WR,181.0,170.93,10.069999999999993
DeVonta Smith,WR,28.0,38.0,10.0
Javonte Williams,RB,24.0,33.8,9.799999999999997
Keenan Allen,WR,156.0,165.77,9.77000000000001
Calvin Ridley,WR,178.0,168.29,9.710000000000008
A.J. Brown,WR,13.0,22.64,9.64
Carnell Tate,WR,68.0,77.06,9.060000000000002
Breece Hall,RB,44.0,35.53,8.469999999999999
Rashod Bateman,WR,163.0,171.41,8.409999999999997
Bo Nix,QB,89.0,97.29,8.290000000000006
Kirk Cousins,QB,162.0,169.96,7.960000000000008
Garrett Wilson,WR,45.0,37.08,7.920000000000002
Tetairoa McMillan,WR,34.0,41.7,7.700000000000003
Denzel Boston,WR,176.0,168.36,7.639999999999986
Brian Thomas,WR,104.0,111.23,7.230000000000004
Chris Rodriguez,RB,158.0,165.0,7.0
Mason Taylor,TE,177.0,170.01,6.990000000000009
Jacory Croskey-Merritt,RB,142.0,135.47,6.530000000000001
Xavier Worthy,WR,122.0,128.33,6.3300000000000125
Omarion Hampton,RB,27.0,20.71,6.289999999999999
Mike Gesicki,TE,164.0,170.23,6.22999999999999
Trey McBride,TE,16.0,22.14,6.140000000000001
Michael Pittman,WR,96.0,90.28,5.719999999999999
Kyle Pitts,TE,73.0,67.33,5.670000000000002
Greg Dulcich,TE,165.0,170.47,5.469999999999999
Chuba Hubbard,RB,116.0,110.9,5.099999999999994
George Kittle,TE,85.0,79.94,5.060000000000002
Rhamondre Stevenson,RB,86.0,81.05,4.950000000000003
