player_id,player_display_name,position,team,years_exp,draft_number,age,games,room40_pts,pts_per_game,eff_shrunk,sample_n,snap_share_trend,target_share_trend,target_share_vacated,rush_share_vacated,new_oc,aging_slope,crowding_target_share,eff_z,trend_z,tailwind_z,draft_capital_z,aging_z,crowding_z,breakout_z
00-0039912,Ben Sinnott,TE,WAS,1.0,53.0,23.2169746748802,9,28.4,3.15555555555556,0.00460517058424999,,0.1792063492063492,0.0917774808923134,1.0270885543398227,0.0405797101449275,0.0,25.12642496440536,0.0975926250417951,-1.4007398119643806e-17,1.7413916569795966,2.1675743736731867,1.4443072596347897,0.7458434550438284,-0.8957436595841982,6.9948604049156
00-0040189,Oronde Gadsden II,TE,LAC,0.0,165.0,22.1875427789185,15,131.4,8.76,0.641968427333228,56.0,-0.0165079365079365,-0.0062220804422425,0.5199958953934393,0.0997304582210242,0.0,26.12698869310644,0.0570720556962817,2.573263407036249,-0.5825942336604446,0.7508617459005538,-1.3251626874383313,0.804949656892459,-1.9333616863843135,4.154679575114799
00-0040737,Terrance Ferguson,TE,LA,0.0,46.0,22.4887063655031,11,52.1,4.73636363636364,0.00460517058424999,,0.2299999999999999,0.0088695046424138,0.0,0.0,1.0,26.12698869310644,0.142441146379447,-1.4007398119643806e-17,0.8743822468780296,-0.734748867025342,1.2587016927769916,0.804949656892459,0.252701067795474,1.9505836617266639
00-0039793,AJ Barner,TE,SEA,1.0,121.0,23.3319644079398,17,147.3,8.66470588235294,0.33931204937100984,35.0,-0.0216666666666666,0.0371798196215116,0.0,0.0058823529411764,1.0,25.12642496440536,0.104336656963873,1.3513313705256473,-0.01985342806424839,-0.7161446607866602,-0.628428160363347,0.7458434550438284,-0.723047934704452,1.4557965110596722
00-0039686,Colson Yankoff,TE,WAS,1.0,,25.5030800821355,10,3.8,0.38,0.00460517058424999,,0.0385714285714285,,1.0270885543398227,0.0405797101449275,0.0,-13.84752084688769,0.106824535114009,-1.4007398119643806e-17,-0.012522580297027047,2.1675743736731867,-0.6636752425002687,-1.5564605780539795,-0.6593403595454898,0.5942563323674012
00-0040735,Luther Burden III,WR,CHI,0.0,39.0,21.7221081451061,15,127.9,8.52666666666667,0.7417192919268609,38.0,0.2981428571428571,0.0992651681135838,0.0,0.0,1.0,14.665345032785552,0.240479987322755,2.121978017924119,1.5562147622263538,-0.7376555346198784,0.4765985328490489,0.9700810552018924,-0.48899399598535975,4.8762108295668956
00-0040729,Jack Bech,WR,LV,0.0,58.0,22.7049965776865,14,42.4,3.02857142857143,0.23852549860618483,,0.1574999999999999,0.0371750100953223,0.2990639537998359,0.1107491856677524,1.0,12.16091627761783,0.21127581476643,2.3409160491636455e-16,0.6276759555587363,0.9640314629771691,1.0692945711436364,0.6964266608683174,-1.1366008417198434,4.494029492267703
00-0040131,Kyle Williams,WR,NE,0.0,69.0,22.8008213552361,14,49.2,3.51428571428571,0.23852549860618483,,0.1563888888888889,0.0542935989174324,0.2840836909094217,0.0827886710239651,1.0,12.16091627761783,0.213463473195486,2.3409160491636455e-16,0.7805731124464106,0.7857263874210517,0.8852353009022171,0.6964266608683174,-1.088089192500781,4.2360506541387775
00-0039919,Rome Odunze,WR,CHI,1.0,9.0,23.2470910335387,12,146.1,12.175,0.8404921519325335,87.0,-0.1679166666666667,-0.0326623474719438,0.0,0.0,1.0,12.16091627761783,0.171614914627179,2.538505090558267,-0.8489880610909422,-0.7376555346198784,0.2639714489949705,0.6964266608683174,-2.0160871681560275,3.928346772866762
00-0039915,Ladd McConkey,WR,LAC,1.0,34.0,23.8056125941136,16,180.9,11.30625,0.9233953693356953,97.0,-0.0093055555555555,-0.061345732626288,0.5199958953934393,0.0997304582210242,0.0,0.9001876893399015,0.225981030415851,2.888109571535209,-0.6999893688579601,1.2128120111812573,0.12911844595242383,-0.534012757790088,-0.8105105097921076,3.8065484118129493
