full_name,position,team,adp_overall,adp_position,sleeper_proj_pts_week1,lag1_room40_pts,lag1_pts_per_game,lag1_games,lag1_target_share,lag1_snap_share_avg,projected_room40_pts,model_used,new_oc,coach_proe_signature,team_changed,player_type,replacement_value,vorp,vorp_rank,adp_rank,value_gap,injury_shortened_2025,lag1_pace_adj_pts,elite_mover_2026
Harold Fannin,TE,CLE,61.0,7.0,10.58,186.4,11.65,16.0,0.247694493013353,0.759375,154.9993924478879,TE_gbm,1,-2.3156060854344385,0,veteran,137.2432429488599,17.756149499028027,57.0,61.0,4.0,False,198.05,False
Tee Higgins,WR,CIN,13.0,7.0,14.98,211.6,14.1066666666667,15.0,0.205950060895085,0.808666666666667,153.28541104928752,WR_lgbm,0,10.0828731123803,0,veteran,135.8305514016934,17.454859647594105,58.0,13.0,-45.0,False,239.8133333333339,False
Hunter Henry,TE,NE,87.0,11.0,9.69,178.8,10.5176470588235,17.0,0.1953474666247,0.786190476190476,154.42961206721392,TE_gbm,1,-5.244402479179989,0,veteran,137.2432429488599,17.186369118354037,59.0,87.0,28.0,False,178.7999999999995,False
Quinshon Judkins,RB,CLE,59.0,22.0,12.06,169.8,12.1285714285714,14.0,0.1152085135048159,0.505,172.42690795492877,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,16.31014826821496,60.0,59.0,-1.0,False,206.1857142857138,False
Derrick Henry,RB,BAL,24.0,11.0,14.51,279.5,16.4411764705882,17.0,0.0736702964938836,0.545294117647059,172.28395044513988,RB_ridge,0,0.4558089730608386,0,veteran,156.1167596867138,16.167190758426074,61.0,24.0,-37.0,False,279.4999999999994,False
Bryce Young,QB,CAR,147.0,25.0,17.87,229.04,14.315,16.0,0.0,0.969411764705882,227.38812398697732,QB_ridge,0,-0.9174934729566496,0,veteran,212.80908857304937,14.579035413927954,62.0,147.0,85.0,False,243.355,False
Bucky Irving,RB,TB,64.0,23.0,11.92,138.5,13.85,10.0,0.128074509644707,0.616,170.20215043784913,RB_ridge,1,-2.3156060854344385,0,veteran,156.1167596867138,14.085390751135321,63.0,64.0,1.0,True,235.45,False
Quentin Johnston,WR,LAC,98.0,46.0,9.94,171.2,13.1692307692308,13.0,0.225981030415851,0.768666666666667,149.14026231366333,WR_lgbm,0,-5.848188465752081,0,veteran,135.8305514016934,13.309710911969916,64.0,98.0,34.0,False,223.87692307692362,False
Jeremiyah Love,RB,ARI,21.0,9.0,,,,,,,169.3333569327338,rookie_prior_ridge,0,,0,rookie,156.1167596867138,13.216597246020001,65.0,21.0,-44.0,False,,False
Kenneth Walker,RB,KC,14.0,6.0,15.66,191.9,11.2882352941176,17.0,0.114840346565526,0.4935,169.2015018258968,RB_ridge,0,5.300602599522808,1,veteran,156.1167596867138,13.084742139182993,66.0,14.0,-52.0,False,191.8999999999992,False
Omarion Hampton,RB,LAC,26.0,12.0,14.4,135.7,15.0777777777778,9.0,0.158780762472339,0.574,169.0994107180806,RB_ridge,0,-5.848188465752081,0,veteran,156.1167596867138,12.9826510313668,67.0,26.0,-41.0,True,256.3222222222226,False
Carnell Tate,WR,TEN,57.0,28.0,,,,,,,147.4142419646675,rookie_prior_ridge,0,,0,rookie,135.8305514016934,11.583690562974084,68.0,57.0,-11.0,False,,False
Marvin Harrison,WR,ARI,60.0,29.0,11.18,127.8,10.65,12.0,0.221632431785534,0.7125,146.46161953388713,WR_lgbm,0,-4.450844670721244,0,veteran,135.8305514016934,10.631068132193718,69.0,60.0,-9.0,False,181.05,False
DK Metcalf,WR,PIT,51.0,25.0,11.58,187.2,12.48,15.0,0.24083106246141,0.871875,145.9986813413785,WR_lgbm,0,-6.551421263838917,0,veteran,135.8305514016934,10.168129939685087,70.0,51.0,-19.0,False,212.16,False
Ladd McConkey,WR,LAC,68.0,31.0,11.03,180.9,11.30625,16.0,0.231631495093878,0.781176470588235,145.88631415394076,WR_lgbm,0,-5.848188465752081,0,veteran,135.8305514016934,10.055762752247347,71.0,68.0,-3.0,False,192.20625,False
Rome Odunze,WR,CHI,41.0,19.0,12.17,146.1,12.175,12.0,0.240479987322755,0.859285714285714,145.76621347216297,WR_lgbm,1,-4.79011169771107,0,veteran,135.8305514016934,9.935662070469562,72.0,41.0,-31.0,False,206.97500000000002,False
Malik Nabers,WR,NYG,20.0,10.0,14.48,57.1,14.275,4.0,0.308809523809524,0.795,145.74273385769555,WR_lgbm,0,-3.3189211254310966,0,veteran,135.8305514016934,9.912182456002142,73.0,20.0,-53.0,True,242.675,False
Jaxson Dart,QB,NYG,62.0,4.0,21.4,246.58,17.6128571428571,14.0,0.0,0.836428571428571,219.96318111922665,QB_ridge,0,-3.3189211254310966,0,veteran,212.80908857304937,7.1540925461772815,74.0,62.0,-12.0,False,299.41857142857066,False
RJ Harvey,RB,DEN,123.0,33.0,9.62,206.6,12.1529411764706,17.0,0.132221531162506,0.437368421052632,163.0810640452599,RB_ridge,0,1.6623237357923664,0,veteran,156.1167596867138,6.964304358546087,75.0,123.0,48.0,False,206.6000000000002,False
AJ Barner,TE,SEA,109.0,15.0,8.84,147.3,8.66470588235294,17.0,0.166598744203719,0.7895,143.71474642343418,TE_gbm,1,-2.673629810734993,0,veteran,137.2432429488599,6.471503474574291,76.0,109.0,33.0,False,147.29999999999998,False
Rashee Rice,WR,KC,47.0,23.0,11.81,150.1,18.7625,8.0,0.296600893174287,0.74875,141.47487106875727,WR_lgbm,0,5.300602599522808,0,veteran,135.8305514016934,5.644319667063854,77.0,47.0,-30.0,True,318.9625,False
Dallas Goedert,TE,PHI,131.0,22.0,7.91,185.1,12.34,15.0,0.246505813514817,0.850625,141.69621428197297,TE_gbm,1,-2.3156060854344385,0,veteran,137.2432429488599,4.452971333113084,78.0,131.0,53.0,False,209.78,False
