"name","avg_sep","avg_cushion","avg_yac_oe","avg_air_yds","air_yds_share","sz_targets","rec_epa"
"Kavontae Turpin",3.37286105554092,6.31636363636364,1.3016647402763,8.84615384615385,9.92742191327318,52,9.19865874760476
"Romeo Doubs",2.59712668359438,6.14701134359468,0.222769290289383,11.9461481481481,28.8893327941348,74,30.8477142888279
"Calvin Austin",2.95891018276241,6.40692307692308,1.03834594455663,12.6063793103448,20.6652610396364,60,24.6084913090964
"Calvin Austin III",2.54485709976496,5.74880555555556,1.71961314212484,12.4628888888889,31.8890513035556,60,24.6084913090964
"Wan'Dale Robinson",3.43354633840699,6.69848232472215,0.459396094018408,4.99219769119769,20.2610353298649,140,-24.2395161905211
"Christian Watson",2.40640843398809,5.11465811965812,-0.113555768332802,14.9747864630129,34.8699773451935,53,19.813962031478
"Dontayvion Wicks",2.79115861910971,6.6080343051165,1.04569151356212,11.2158120943384,27.9519164708792,82,-6.7224132196387
"Jaxon Smith-Njigba",3.53685637540739,6.40819266289266,0.540261523982058,8.03742579745207,31.58324156668,137,48.4443404936788
"Quentin Johnston",3.06345653257528,5.82978235653236,1.07286068901163,11.8688121947497,31.863165834263,96,25.3182324747474
"Michael Wilson",2.81412098770189,6.6100119047619,0.508460653613039,11.2978573943662,29.9658376747238,71,10.1235617534646
"Tre Tucker",2.70733371757706,6.05535185185185,-0.086115194184497,12.6915795610425,30.8158372128029,81,12.2734947501078
"Parker Washington",3.19099629083944,6.55453333333333,1.62403270339092,11.9223333333333,26.5702290269233,51,13.4405623737517
"Kayshon Boutte",2.48321311036731,4.74995948827292,1.22880823415235,14.013881232493,36.4767648991166,68,20.7365254341252
"Andrei Iosivas",2.9895483595345,5.49217161016949,-0.170741676622359,8.50148165495707,19.3416525220618,61,23.9635120646837
"Demario Douglas",4.1832957722982,7.19244801587302,0.661531090414886,5.62537629994527,18.5860488886848,87,20.8253435181423
"Marvin Mims",5.20558775391506,7.99636363636364,2.77744977794277,7.13980769230769,9.1467215235092,56,23.3348122296761
"Tank Dell",2.68324714073777,6.05713553113553,-0.0871612161173796,13.0961403096218,31.1160207223143,81,21.8984566964169
"Cedric Tillman",2.65216903318031,5.91614213564213,0.973315897668624,13.153436611008,27.873400382687,49,-1.26658790183508
"Jordan Addison",3.02421626088958,6.08210966938892,0.319969769611337,12.8933872053872,31.7025906288566,107,31.2340883354404
"Josh Downs",3.27879187065968,5.68666128547379,0.113512509833883,6.92506750310956,19.0946203918401,107,25.5972637405168
"Zay Flowers",3.89084216568129,7.27024075527647,1.97270977002847,11.2582676199006,33.7016667716912,116,44.6566891678379
"Puka Nacua",3.2643230167717,6.62892148129648,1.49012322885397,7.53815405349368,32.2406697888553,129,49.2081072945418
"Jayden Reed",4.29684826711069,7.24042036588647,1.63138658709307,7.48674444444445,15.3314298791858,79,44.5669117682313
"Malik Nabers",2.77902235340263,6.10552411143227,0.875247233382485,9.37216352887309,45.459186185557,170,45.6944160882511
"Xavier Legette",2.4884831588523,6.0487849005425,0.333744444865387,12.9008238095238,30.4211983382399,84,4.51776354083611
"Devaughn Vele",3.13830434457905,5.89601736694678,-0.0635850309276515,8.03569141414141,21.0596129789481,57,33.7194581951771
"Jalen Coker",2.54045225998949,6.53631746031746,2.10108032810411,10.9273963940649,28.5966437592311,46,29.0746030884825
"Marvin Harrison",2.04846611993342,4.9075,0.221509689236355,13.5800862068965,42.6665041575255,116,27.3088771691883
"Marvin Harrison Jr.",2.12174157192679,5.0085443001443,0.128262639248472,13.5205898989899,46.1105878742158,116,27.3088771691883
"Jalen McMillan",3.34164464649178,7.51973863636364,-0.165623788436124,11.9544408353859,26.039335895425,62,9.94379216979909
"Troy Franklin",3.82789926444602,7.54814705882353,1.73194165305844,11.3402540880503,22.0851224374495,56,-14.8291251415839
"Adonai Mitchell",3.08030903737571,6.40528077268643,-1.22356938506962,12.700974025974,20.764839532984,55,-4.95154687589923
"Brian Thomas",3.03740993037118,6.16168,1.27606265092465,11.3881954887218,35.0069915523558,133,54.2429931032611
"Brian Thomas Jr.",3.04180950139075,5.94699008399008,1.69184292089445,11.6693800967551,44.8365583782946,133,54.2429931032611
"Xavier Worthy",3.86713497630984,6.3114792227974,-0.118931166683556,8.33438119600457,25.5152208353801,119,41.21500445989
"Keon Coleman",2.11048889189866,4.51512641723356,7.54215679581431,13.586544933763,37.4962746635694,65,21.7205298621964
"Ladd McConkey",3.21587623324683,5.89592414397648,0.776191208812232,9.61745132275132,29.7504864007486,126,73.9785999947513
"Ricky Pearsall",2.28104215144297,5.82557878787879,0.221934203436258,10.1567231884058,22.2007198004559,46,7.52167377494537
"Rome Odunze",2.89242534039135,5.86691956162117,0.890990927495331,13.7019259947973,35.1870566534324,101,16.0611612963145
