model_id,domain,position,model_type,train_date,train_rows,val_rows,val_rmse,val_mae,val_spearman,features_used,notes
nfl_wr_lgbm_2026-07-30,nfl,WR,lgbm,2026-07-30,968,165,51.183297023165,37.22810055254584,0.8131550203480706,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_te_ridge_2026-07-30,nfl,TE,ridge,2026-07-30,540,102,36.24447489738583,25.96516090475745,0.7838586750277533,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_te_gbm_2026-07-30,nfl,TE,gbm,2026-07-30,540,102,36.18061842129919,26.721587513014875,0.7859905697620224,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_te_lgbm_2026-07-30,nfl,TE,lgbm,2026-07-30,540,102,37.04802310951457,25.956141936852404,0.7682285502385752,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","injury-bias fix: dropped lag1_room40_pts (season total conflates decline with injury), kept lag1_pts_per_game + lag1_games as independent rate/durability signals"
nfl_qb_ridge_2026-07-30,nfl,QB,ridge,2026-07-30,346,61,85.1762912584795,64.2771067820639,0.745038935006081,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_qb_gbm_2026-07-30,nfl,QB,gbm,2026-07-30,346,61,91.60537529537233,69.82932920289468,0.664366266137729,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_qb_lgbm_2026-07-30,nfl,QB,lgbm,2026-07-30,346,61,90.06420097323219,68.3578226322413,0.6710559368108504,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_rb_ridge_2026-07-30,nfl,RB,ridge,2026-07-30,640,99,66.83062975753617,48.456637843519125,0.76684489195962,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_rb_gbm_2026-07-30,nfl,RB,gbm,2026-07-30,640,99,72.69862130608203,52.993314623655856,0.714806558860594,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_rb_lgbm_2026-07-30,nfl,RB,lgbm,2026-07-30,640,99,69.3866678086603,51.40340956595383,0.7623756882716329,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_wr_ridge_2026-07-30,nfl,WR,ridge,2026-07-30,1007,175,51.89005267075711,37.908641767218164,0.8160499563528234,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_wr_gbm_2026-07-30,nfl,WR,gbm,2026-07-30,1007,175,56.48364004626455,39.380749335587936,0.8032042154957456,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_wr_lgbm_2026-07-30,nfl,WR,lgbm,2026-07-30,1007,175,51.31441553041339,38.139123686975914,0.8198869958296129,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_te_ridge_2026-07-30,nfl,TE,ridge,2026-07-30,544,102,36.327755989556614,25.93590633818373,0.7800812063739287,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_te_gbm_2026-07-30,nfl,TE,gbm,2026-07-30,544,102,35.849842031250006,26.01157581956123,0.7908028838704128,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
nfl_te_lgbm_2026-07-30,nfl,TE,lgbm,2026-07-30,544,102,36.41929309131844,25.7886334992443,0.7811634995128863,"age,draft_number,years_exp,lag1_targets,lag1_receptions,lag1_rec_yards,lag1_air_yards,lag1_rush_attempts,lag1_target_share,lag1_air_yards_share,lag1_games_with_snaps,lag1_snap_share_avg,lag1_pts_per_game,lag1_games,combined_index,new_oc,scheme_uncertainty_flag,team_changed,team_changed_x_target_share,coach_proe_signature,coach_pace_signature,coach_rz_signature,coach_n_prior_seasons","add team_changed + team_changed_x_target_share features: fixes systematic overvaluation of players carrying forward a high target-share role into a new team where it wasn't earned (found via Wan'Dale Robinson review). Empirically verified real effect: team-changers with lag1_target_share>0.20 erode much further (24.7%->19.6% vs 25.7%->23.6% for stayers), score 9.5 vs 12.2 pts/game."
